Start date;End date;Spot-Prices (€/MWh);Solarpark Inden CF (West);Solarpark Weesow-Willmersdorf (East);Solarpark Lauingen (Helmeringen 1, 2 und 3) (South);Solarpark Eggebek (North)
01.01.2025 00:00;01.01.2025 01:00;2,16;0;0;0;0
01.01.2025 01:00;01.01.2025 02:00;1,6;0;0;0;0
01.01.2025 02:00;01.01.2025 03:00;0;0;0;0;0
01.01.2025 03:00;01.01.2025 04:00;-0,01;0;0;0;0
01.01.2025 04:00;01.01.2025 05:00;-0,01;0;0;0;0
01.01.2025 05:00;01.01.2025 06:00;-0,06;0;0;0;0
01.01.2025 06:00;01.01.2025 07:00;-0,09;0;0;0;0
01.01.2025 07:00;01.01.2025 08:00;-0,01;0;0;0,077;0
01.01.2025 08:00;01.01.2025 09:00;-0,01;0,03;0,003;0,333;0
01.01.2025 09:00;01.01.2025 10:00;-0,04;0,056;0,035;0,483;0
01.01.2025 10:00;01.01.2025 11:00;-0,03;0,045;0,076;0,549;0
01.01.2025 11:00;01.01.2025 12:00;-0,1;0,028;0,106;0,548;0
01.01.2025 12:00;01.01.2025 13:00;-0,05;0,034;0,086;0,487;0
01.01.2025 13:00;01.01.2025 14:00;-0,1;0,05;0,028;0,364;0
01.01.2025 14:00;01.01.2025 15:00;-1,01;0,012;0;0,177;0
01.01.2025 15:00;01.01.2025 16:00;-0,01;0;0;0;0
01.01.2025 16:00;01.01.2025 17:00;-0,01;0;0;0;0
01.01.2025 17:00;01.01.2025 18:00;0,07;0;0;0;0
01.01.2025 18:00;01.01.2025 19:00;1,01;0;0;0;0
01.01.2025 19:00;01.01.2025 20:00;1,48;0;0;0;0
01.01.2025 20:00;01.01.2025 21:00;1;0;0;0;0
01.01.2025 21:00;01.01.2025 22:00;0,07;0;0;0;0
01.01.2025 22:00;01.01.2025 23:00;10,05;0;0;0;0
01.01.2025 23:00;02.01.2025 00:00;7,01;0;0;0;0
02.01.2025 00:00;02.01.2025 01:00;2,55;0;0;0;0
02.01.2025 01:00;02.01.2025 02:00;1,56;0;0;0;0
02.01.2025 02:00;02.01.2025 03:00;3,45;0;0;0;0
02.01.2025 03:00;02.01.2025 04:00;7,02;0;0;0;0
02.01.2025 04:00;02.01.2025 05:00;12,75;0;0;0;0
02.01.2025 05:00;02.01.2025 06:00;30,07;0;0;0;0
02.01.2025 06:00;02.01.2025 07:00;67,13;0;0;0;0
02.01.2025 07:00;02.01.2025 08:00;98,83;0;0;0;0
02.01.2025 08:00;02.01.2025 09:00;121,53;0;0,057;0,023;0,031
02.01.2025 09:00;02.01.2025 10:00;127,23;0,027;0,297;0,029;0,076
02.01.2025 10:00;02.01.2025 11:00;126,35;0,055;0,447;0,036;0,081
02.01.2025 11:00;02.01.2025 12:00;119,97;0,081;0,462;0,037;0,076
02.01.2025 12:00;02.01.2025 13:00;115,95;0,161;0,363;0,028;0,061
02.01.2025 13:00;02.01.2025 14:00;113,9;0,125;0,197;0,01;0,032
02.01.2025 14:00;02.01.2025 15:00;122,21;0,037;0,028;0;0,003
02.01.2025 15:00;02.01.2025 16:00;130,11;0;0;0;0
02.01.2025 16:00;02.01.2025 17:00;138,59;0;0;0;0
02.01.2025 17:00;02.01.2025 18:00;152,87;0;0;0;0
02.01.2025 18:00;02.01.2025 19:00;152,94;0;0;0;0
02.01.2025 19:00;02.01.2025 20:00;139,15;0;0;0;0
02.01.2025 20:00;02.01.2025 21:00;130;0;0;0;0
02.01.2025 21:00;02.01.2025 22:00;119,78;0;0;0;0
02.01.2025 22:00;02.01.2025 23:00;113,42;0;0;0;0
02.01.2025 23:00;03.01.2025 00:00;82,47;0;0;0;0
03.01.2025 00:00;03.01.2025 01:00;99,56;0;0;0;0
03.01.2025 01:00;03.01.2025 02:00;87,53;0;0;0;0
03.01.2025 02:00;03.01.2025 03:00;85,01;0;0;0;0
03.01.2025 03:00;03.01.2025 04:00;83,79;0;0;0;0
03.01.2025 04:00;03.01.2025 05:00;77,5;0;0;0;0
03.01.2025 05:00;03.01.2025 06:00;79,88;0;0;0;0
03.01.2025 06:00;03.01.2025 07:00;83,56;0;0;0;0
03.01.2025 07:00;03.01.2025 08:00;78,43;0;0;0,012;0
03.01.2025 08:00;03.01.2025 09:00;82,57;0,025;0,015;0,109;0
03.01.2025 09:00;03.01.2025 10:00;80,76;0,114;0,072;0,211;0,06
03.01.2025 10:00;03.01.2025 11:00;77,64;0,331;0,163;0,323;0,166
03.01.2025 11:00;03.01.2025 12:00;70,48;0,497;0,164;0,385;0,253
03.01.2025 12:00;03.01.2025 13:00;69,94;0,447;0,066;0,318;0,217
03.01.2025 13:00;03.01.2025 14:00;77,8;0,251;0,008;0,131;0,102
03.01.2025 14:00;03.01.2025 15:00;78,81;0,042;0;0,07;0,009
03.01.2025 15:00;03.01.2025 16:00;85,29;0;0;0;0
03.01.2025 16:00;03.01.2025 17:00;105,51;0;0;0;0
03.01.2025 17:00;03.01.2025 18:00;116,66;0;0;0;0
03.01.2025 18:00;03.01.2025 19:00;115,06;0;0;0;0
03.01.2025 19:00;03.01.2025 20:00;114,91;0;0;0;0
03.01.2025 20:00;03.01.2025 21:00;113,3;0;0;0;0
03.01.2025 21:00;03.01.2025 22:00;107,8;0;0;0;0
03.01.2025 22:00;03.01.2025 23:00;98,22;0;0;0;0
03.01.2025 23:00;04.01.2025 00:00;88,57;0;0;0;0
04.01.2025 00:00;04.01.2025 01:00;90,43;0;0;0;0
04.01.2025 01:00;04.01.2025 02:00;90,29;0;0;0;0
04.01.2025 02:00;04.01.2025 03:00;90,2;0;0;0;0
04.01.2025 03:00;04.01.2025 04:00;91,52;0;0;0;0
