# Region:;Inden_CF
# Optimized PV Capacity (kW):;2012.07
# Optimized Battery Capacity (kWh):;-0.00
Time;Market_Spot_Price_EUR_per_kWh;PV_Generation_kW;Battery_Charge_kW;Battery_Discharge_kW;State_of_Charge_kWh;Sell_from_PV_kW;Sell_from_Batt_kW
0;0,00216;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
1;0,0016;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
2;0,0;0,0;0,0;0,0;-0,0;-0,0;-0,0
3;-1e-05;0,0;-0,0;0,0;-0,0;0,0;-0,0
4;-1e-05;0,0;-0,0;0,0;-0,0;0,0;-0,0
5;-5,9999999999999995e-05;0,0;-0,0;0,0;-0,0;0,0;-0,0
6;-8,999999999999999e-05;0,0;-0,0;0,0;-0,0;0,0;-0,0
7;-1e-05;0,0;-0,0;0,0;-0,0;0,0;-0,0
8;-1e-05;-0,0;0,0;0,0;-0,0;0,0;-0,0
9;-4e-05;-0,0;0,0;0,0;-0,0;0,0;-0,0
10;-2,9999999999999997e-05;-0,0;0,0;0,0;-0,0;0,0;-0,0
11;-0,0001;-0,0;0,0;0,0;-0,0;0,0;-0,0
12;-5e-05;-0,0;0,0;0,0;0,0;0,0;-0,0
13;-0,0001;-0,0;0,0;0,0;-0,0;0,0;-0,0
14;-0,00101;-0,0;0,0;0,0;-0,0;0,0;-0,0
15;-1e-05;0,0;-0,0;0,0;-0,0;0,0;-0,0
16;-1e-05;-0,0;-0,0;0,0;-0,0;0,0;-0,0
17;7,000000000000001e-05;-0,0;-0,0;0,0;-0,0;0,0;-0,0
18;0,00101;-0,0;-0,0;0,0;-0,0;0,0;-0,0
19;0,00148;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
20;0,001;-0,0;0,0;0,0;-0,0;-0,0;-0,0
21;7,000000000000001e-05;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
22;0,01005;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
23;0,00701;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
24;0,0025499999999999997;-0,0;-0,0;0,0;-0,0;0,0;-0,0
25;0,00156;-0,0;-0,0;0,0;-0,0;0,0;-0,0
26;0,0034500000000000004;-0,0;-0,0;0,0;-0,0;0,0;-0,0
27;0,007019999999999999;-0,0;-0,0;0,0;-0,0;0,0;-0,0
28;0,01275;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
29;0,03007;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
30;0,06713;-0,0;-0,0;0,0;-0,0;0,0;-0,0
31;0,09883;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
32;0,12153;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
33;0,12723;54,325955734406435;0,0;-0,0;-0,0;54,325955734406435;-0,0
34;0,12635;110,66398390342052;0,0;0,0;-0,0;110,66398390342052;-0,0
35;0,11997;162,97786720321932;0,0;0,0;-0,0;162,97786720321932;-0,0
36;0,11595;323,943661971831;0,0;0,0;-0,0;323,943661971831;-0,0
37;0,1139;251,50905432595573;-0,0;0,0;-0,0;251,50905432595573;-0,0
38;0,12221;74,44668008048289;-0,0;0,0;-0,0;74,44668008048289;-0,0
39;0,13011;-0,0;-0,0;0,0;-0,0;0,0;-0,0
40;0,13859;-0,0;0,0;0,0;-0,0;-0,0;-0,0
41;0,15287;-0,0;0,0;-0,0;-0,0;-0,0;-0,0
